Communication,Ranks,MFlops_per_s,Validates
mpi1,32,17356.866873,true
mpi1,64,27710.693119,true
mpi1,128,27338.941001,true
mpi1,256,71223.478545,true
mpi1,512,140755.992558,true
mpi1,1024,257003.598666,true
mpi1,2048,356262.371154,true
mpi1,4096,170354.485107,true
mpi1,8192,288403.505858,true
mpi1,16384,88394.173707,true
mpi1,32768,43082.305569,true
mpiomp,32,7892.945258,true
mpiomp,64,12713.932317,true
mpiomp,128,7463.153429,true
mpiomp,256,11646.353269,true
mpiomp,512,21369.242944,true
mpiomp,1024,18874.84347,true
mpiomp,2048,25735.578891,true
mpiomp,4096,20371.440073,true
mpiomp,8192,23438.997001,true
mpiomp,16384,22359.197901,true
mpiomp,32768,15480.841355,true
mpirma,32,15598.961821,true
mpirma,64,18129.277297,true
mpirma,128,21977.864213,true
mpirma,256,373.978635,true
mpirma,512,371.570511,true
mpirma,1024,356.711734,true
mpirma,2048,339.761497,true
mpirma,4096,337.389425,true
mpirma,8192,314.138997,true
mpirma,16384,203.596861,true
mpirma,32768,54.4152,true
mpishm,32,25469.208145,true
mpishm,64,33356.972705,true
mpishm,128,26665.11375,true
mpishm,256,69766.46066,true
mpishm,512,132946.197764,true
mpishm,1024,239140.643586,true
mpishm,2048,301109.353346,true
mpishm,4096,118274.197307,true
mpishm,8192,86313.40592,true
mpishm,16384,163217.408958,true
mpishm,32768,33403.466761,true
